,audio_status,audio_status_time
1263,1,1457.458039555
1264,1,1457.458701871
1265,1,1457.459355641
1266,1,1457.469537431
1267,1,1457.470342156
1268,1,1457.470941381
1269,1,1457.47157216
1270,1,1457.472202162
1271,1,1457.472872565
1272,1,1457.473506539
1273,1,1457.474160751
1274,1,1457.474754
1275,1,1457.475435317
1276,1,1457.476026881
1277,1,1457.486150042
1278,1,1457.487034351
1279,1,1457.487713316
1280,1,1457.488416389
1281,1,1457.489033685
1282,1,1457.489701595
1283,1,1457.49036767
1284,1,1457.490998194
1285,1,1457.491645467
1286,1,1457.49230345
1287,1,1457.492995922
1288,1,1457.503283177
1289,1,1457.504133765
1290,1,1457.504836427
1291,1,1457.505494566
1292,1,1457.506202223
1293,1,1457.506880863
1294,1,1457.507511986
1295,1,1457.508150124
1296,1,1457.508785729
1297,1,1457.509396251
1298,1,1457.510094805
1299,1,1457.520028141
1300,1,1457.520804766
1301,1,1457.52152746
1302,1,1457.522240756
1303,1,1457.522855599
1304,1,1457.523583422
1305,1,1457.524227759
1306,1,1457.524826635
1307,1,1457.5254732
1308,1,1457.526102159
1309,1,1457.526781042
1310,1,1457.536013024
1311,1,1457.536792361
1312,1,1457.537383072
1313,1,1457.538006075
1314,1,1457.538639914
1315,1,1457.539558961
1316,1,1457.540271162
1317,1,1457.540914786
1318,1,1457.541567057
1319,1,1457.542212071
1320,1,1457.542923421
1321,1,1457.553015415
1322,1,1457.553852074
1323,1,1457.55447433
1324,1,1457.555179842
1325,1,1457.55582341
1326,1,1457.556433981
1327,1,1457.557029636
1328,1,1457.557650396
1329,1,1457.558268568
1330,1,1457.558912152
1331,1,1457.559535128
1332,1,1457.5694308
1333,1,1457.570241871
1334,1,1457.570854998
1335,1,1457.571406601
1336,1,1457.572032124
1337,1,1457.5726493
1338,1,1457.573257457
1339,1,1457.573831185
1340,1,1457.574427837
1341,1,1457.575073358
1342,1,1457.575694741
1343,1,1457.58588112
1344,1,1457.586715682
1345,1,1457.58736206
1346,1,1457.587989555
1347,1,1457.588545537
1348,1,1457.58913927
1349,1,1457.58967432
1350,1,1457.590286243
1351,1,1457.590902911
1352,1,1457.591615352
1353,1,1457.59293107
1354,1,1457.603550836
1355,1,1457.604394545
1356,1,1457.605087043
1357,1,1457.605731512
1358,1,1457.606384796
1359,1,1457.607028352
1360,1,1457.607703218
1361,1,1457.608385671
1362,1,1457.609026964
1363,1,1457.60970166
1364,1,1457.61035878
1365,1,1457.619790524
1366,1,1457.620667001
1367,1,1457.621419341
1368,1,1457.62210298
1369,1,1457.622749107
1370,1,1457.62339284
1371,1,1457.624001743
1372,1,1457.624682831
1373,1,1457.625383444
